3,12
12,32
5,36
10,31
17,22
22,38
27,8
9,32
10,32
1,2
19,2
13,13
37,16
3,32
13,33
17,18
35,25
23,28
28,19
36,8
34,8
5,16
30,22
13,22
5,11
14,29
18,3
11,22
28,28
8,16
56,53
52,52
62,48
39,63
36,36
55,25
33,34
32,58
33,57
56,63
36,45
46,39
64,54
25,43
38,54
63,44
47,39
44,59
28,64
50,31
55,25
42,53
53,63
33,53
58,42
54,40
52,57
63,54
43,39
33,56
29,53
33,37
33,30
64,58
36,34
34,39
48,59
39,51
36,55
54,48
67,67
50,58
50,51
50,78
83,86
88,75
64,76
88,67
86,69
62,60
81,82
67,73
66,92
78,69
74,93
61,65
73,79
70,91
61,95
70,64
79,88
67,69
81,88
69,57
53,54
72,56
61,89
52,55
52,58
74,83
184,104
153,192
184,103
181,163
120,184
150,109
154,137
101,128
175,174
140,143
109,149
196,159
117,187
189,109
127,146
183,143
136,160
102,162
177,151
170,183
169,180
176,120
144,146
146,172
121,171
182,139
143,165
121,135
103,186
196,131
132,156
193,129
137,152
133,146
177,128
142,119
147,142
124,133
192,119
118,117
144,172
107,190
118,180
145,168
104,107
185,134
132,166
178,110
154,164
168,146
175,141
152,107
106,130
153,100
122,196
168,113
144,147
156,149
102,118
197,173
149,159
136,161
144,139
162,142
171,140
168,192
121,194
129,124
198,149
181,106
190,164
182,151
100,172
164,143
163,180
110,188
163,133
145,141
171,143
161,160
150,119
169,196
135,131
116,188
148,129
136,104
108,177
152,127
105,172
118,190
120,107
193,191
179,106
172,181
162,139
157,174
143,181
131,136
122,117
132,104
